position,longsnapper,height,weight,draftage,bench,forty,fortyelectric,verticaljump,broadjump,threecone,shuttle,drafted
OL,0,81.25,322,22.11232877,19,5.4,5.43,28.5,95,7.47,4.66,1
OL,0,81,317,24.22739726,16,5.46,5.79,26.75,96.624,8.28,5,1
OL,0,80.75,324,22.52054795,18,5.53,5.54,24.5,87.5,8.18,4.9,1
OL,0,80,335,23.27671233,17,0,5.453,28,96,8.047,4.918,1
OL,0,80,320,25.24383562,22,0,5.28,33.5,93,7.5,4.61,1
OL,0,79.75,340.4,21.71506849,27,5.37,5.42,24.5,102.5,0,0,1
OL,0,79.5,322,25.4109589,25,5.31,5.39,21,97,0,4.74,1
OL,0,79.5,316,23.23561644,18,5.22,5.4,32.5,109,0,4.62,1
OL,0,79.375,307,22.13150685,12,5.5,5.68,20.5,90.5,0,4.9,0
OL,0,79.25,263,22.59452055,18,5.44,5.69,21.5,92.5,0,4.93,1
OL,0,79,290,24.95342466,19,0,5.464,25,95.5,7.99,4.809,1
DL,0,78.875,235,22.82739726,3,5.17,0,22,99,0,4.59,0
OL,0,78.75,309,22.4109589,28,5.25,5.51,36,100.5,0,4.62,1
DL,0,78.75,291,22.49041096,17,5.2,5.44,28,104,0,4.67,1
DL,0,78.75,274.4,22.46575342,19,5.01,5.25,36,105.2,0,0,1
OL,0,78.625,287,23.54794521,13,5.5,5.91,22,104.5,0,5.13,0
LB,0,78.625,235,23.0109589,2,5.12,5.27,27.5,110,0,4.55,0
DL,0,78.5,276.8,23.26849315,15,4.97,5,25.5,102,0,0,1
OL,0,78.5,274,23.75890411,21,5.41,0,29,98.5,0,4.19,0
OL,0,78.25,319,25.19726027,15,5.64,5.6,24,97.5,8.9,5.13,1
OL,0,78.25,296,22.58630137,0,5.31,5.53,24,92.5,0,4.99,1
OL,0,78.25,292,23.11232877,15,5.73,5.87,23.5,93.5,0,5.12,0
OL,0,78.125,322,22.04383562,0,5.8,6.03,21,93,0,5.07,1
DL,0,78.125,299,25.34520548,33,4.96,5.18,26.5,104.5,0,4.57,1
DL,0,78.125,275,23.67123288,18,5.05,5.29,30,109.5,0,4.78,1
OL,0,78,328,23.23561644,29,0,5.19,26.5,96,8.11,4.9,1
OL,0,78,320,25.11232877,21,0,5.48,24.5,97.5,8.03,4.97,1
OL,0,78,312,23.39726027,18,0,5.36,24.5,100,8.27,4.98,1
OL,0,78,306,21.81917808,13,0,5.543,26.5,98.75,7.8,4.84,1
OL,0,78,302,22.71232877,26,0,0,34,96.96,7.5,4.59,1
OL,0,77.875,299,21.85205479,21,0,5.33,27,98,7.73,4.68,1
OL,0,77.75,308,22.9890411,9,5.43,5.47,24,86.5,8.25,5.13,0
QB,0,77.75,223,24.1369863,16,4.78,5.04,35,118,0,4.67,0
DL,0,77.625,280,23.56986301,13,5.12,5.33,27.5,107,0,5.01,0
OL,0,77.5,295,25.29315068,19,5.65,5.87,27,96.5,0,4.75,1
OL,0,77.5,285,22.70684932,24,5.19,5.14,33,105.5,8.06,4.94,1
DL,0,77.5,256,0,10,5.31,5.64,25,101,0,5.2,0
OL,0,77.375,296,24.3260274,16,5.39,0,21.75,91.5,0,4.87,1
OL,0,77.375,287,23.23287671,16,5.6,5.75,27.5,88.5,0,4.97,0
OL,0,77.25,291,21.35890411,12,5.36,5.58,26,101,0,4.78,1
WR,0,77.125,235.8,24.0630137,9,4.95,5.04,33,112.6,0,0,1
OL,0,77,339,22.90958904,16,0,5.55,23,94.25,8.6,5.03,1
DL,0,77,310,24.90958904,15,0,5.306,37,102.5,7.512,4.508,1
OL,0,77,295,22.04383562,20,0,5.586,22.5,94,8.47,5.15,1
OL,0,77,295,21.64383562,26,0,5.313,31,110.5,7.857,4.503,1
OL,0,77,292,22.55890411,17,0,4.984,31,107.75,7.41,4.78,1
DL,1,77,290,23.05753425,21,0,5.241,27.5,98.5,7.612,4.448,1
WR,0,77,220,22.74794521,14,0,4.823,30.5,114.5,7.5,4.41,1
QB,0,77,218,0,6,0,5.37,23,89.5,8.35,4.72,0
WR,0,77,202,22.6109589,15,0,4.623,32.5,120,0,4.19,1
OL,0,76.875,295,22.90410959,21,5.53,5.72,24.5,94,0,5.03,1
DL,0,76.875,242,24.08767123,9,5.04,0,32.5,114,0,4.66,0
OL,0,76.75,302,22.40821918,21,5.62,0,20,86,0,4.95,0
DL,0,76.75,290,23.3260274,19,5.22,5.4,35,109,0,4.85,1
DL,0,76.75,270,21.92876712,30,4.93,5.2,29.5,114.5,0,4.55,1
WR,0,76.75,221,25.71506849,7,4.84,5.03,27.5,108,0,4.32,0
OL,0,76.625,320,21.65753425,20,5.59,5.76,29,80,8.25,5.09,0
DL,0,76.5,273,24.61917808,19,5.19,5.44,27.5,94,0,4.69,0
WR,0,76.5,237,22.46575342,18,4.81,5.05,36,124.25,0,4.55,0
WR,0,76.5,216.2,22.78356164,13,4.74,4.78,33.5,115.2,0,0,1
OL,0,76.375,299,23.09863014,21,5.43,5.53,25,101,8.02,4.85,1
DL,0,76.375,290,23.34794521,23,5.25,5.35,22.5,99,0,4.91,0
OL,0,76.25,323,23.43013699,13,5.46,5.79,21,94.5,8.56,5.12,1
OL,0,76.25,310,22.24931507,32,0,5.28,27,99,7.59,4.62,1
RB,0,76.25,227,21.68219178,9,0,5.32,19.5,91,7.5,4.37,0
WR,0,76.25,223,22.09041096,16,4.72,5.03,31,106,0,4.44,0
WR,0,76.25,218,25.99452055,0,4.78,4.97,27.5,109.5,0,4.36,0
WR,0,76.25,212,22.66575342,2,4.67,4.8,37,118,0,4.3,1
DL,0,76.125,301,22.76164384,20,5.31,0,28.5,92,0,4.81,0
OL,0,76,330,26.65205479,47,5.91,5.95,27.5,89,7.97,5.13,1
OL,0,76,329,23.63287671,24,0,5.384,27,96.75,7.67,4.79,1
DL,0,76,327,23.2739726,24,0,5.349,24,96.25,8.11,4.87,1
DL,0,76,319,24.55616438,27,5.19,5.46,29.5,105.5,0,4.6,1
OL,0,76,314,24.21643836,22,5.46,5.64,27.5,100,0,4.68,1
OL,0,76,308,0,13,0,5.426,23.5,95.5,7.885,4.761,1
OL,0,76,306,23.65479452,16,5.58,5.75,23.5,97.5,0,4.91,1
OL,0,76,305,23.79726027,21,5.28,5.29,30,103.5,8.03,4.82,1
OL,0,76,303,23.17260274,25,0,5.27,28,107.25,0,4.59,1
OL,0,76,303,22.30684932,21,0,5.304,27.5,97.5,7.76,4.72,1
OL,0,76,300,21.55890411,29,0,5.474,24.5,90,8.25,5.09,1
OL,0,76,298.5,22.48219178,19,5.59,5.85,26,95.5,0,4.98,1
OL,0,76,296,26.09041096,15,5.43,5.63,27.5,105.5,0,4.8,1
OL,0,76,295,0,14,0,5.802,24.5,99.5,8.326,4.946,0
OL,0,76,294,25.44383562,27,0,5.385,30,102.5,7.69,4.78,1
OL,0,76,293,23.90684932,24,0,5.01,31,108.25,7.91,4.69,1
OL,0,76,292,22.24383562,24,0,5.243,26,102,7.76,4.72,1
DL,0,76,290,22.3369863,36,0,5.221,33.5,103,7.444,4.45,1
OL,0,76,290,0,16,0,5.296,29.5,103.5,8.037,4.73,0
DL,0,76,288,24.35890411,19,0,5.3,26.5,100.25,7.99,4.72,1
DL,0,76,286.2,23.61369863,16,5.09,5.22,27,106,0,0,1
OL,0,76,285,22.7260274,24,0,5.124,34,106,7.566,4.568,1
DL,0,76,282,21.69863014,21,0,5.12,31.5,93.75,7.66,4.58,1
OL,0,76,279,24.00273973,14,5.38,5.43,25.5,96.072,7.88,4.8,1
DL,0,76,276,24.07945205,0,5.53,5.76,26.5,90,0,4.59,0
OL,0,76,272,23.82739726,22,5.31,5.34,25,91.5,8.09,4.88,0
DL,0,76,270,23.25479452,17,0,5.146,27.5,103.5,7.63,4.84,0
DL,0,76,266,24.89863014,26,4.74,4.91,35,117,0,4.45,1
DL,0,76,247.4,24.59452055,21,4.75,4.95,37,130,0,0,1
DL,0,76,246.4,22.85205479,16,5.02,5.02,27,106.5,0,0,1
RB,0,76,245,0,23,0,5.021,26.5,101,7.46,4.53,1
LB,0,76,243,24.36438356,9,4.7,4.94,32.5,109.32,7.25,4.43,1
RB,0,76,238,23.33424658,21,4.67,0,35,109,0,4.31,1
WR,0,76,233,22.09589041,24,0,4.69,34,128.5,6.92,4.13,1
LB,0,76,232,24.23835616,16,5.02,5.24,28.5,108,0,4.42,1
WR,0,76,204,23.27945205,8,0,4.547,34,116.75,7.38,4.47,1
WR,0,76,200,22.68493151,9,4.77,5.12,29,107,0,4.71,0
OL,0,75.875,315,25.65753425,15,5.88,6.09,20,88,0,5.08,1
WR,0,75.875,221,22.38356164,6,4.78,4.99,34,122,0,4.31,1
WR,0,75.875,215,22.27671233,7,4.68,0,34.25,115.5,0,4.39,1
QB,0,75.875,204,24.45753425,6,5.14,0,25.5,105,0,4.53,0
OL,0,75.75,329,22.53972603,0,0,5.62,24,87.5,8.33,5.11,0
DL,0,75.75,329,22.5890411,12,5.92,5.97,26,95.25,8.88,5.19,0
OL,0,75.75,315,21.65205479,18,5.45,5.53,28.5,100.5,7.94,4.75,1
DL,0,75.75,292.6,23.95616438,23,4.97,5.17,29.5,111,0,0,1
DL,0,75.75,254,21.67123288,16,0,4.93,32,108,7.01,4.18,0
WR,0,75.75,236,23.95342466,18,4.83,5.02,29,110,0,4.51,1
LB,0,75.75,226.2,23.1369863,18,4.83,5.06,30.5,116.5,0,0,1
WR,0,75.75,212,23.13150685,8,4.56,4.79,35.5,123,0,4.49,1
OL,0,75.625,303,22.6109589,30,5.46,0,28,103.5,0,4.73,1
OL,0,75.625,297,22.70958904,21,5.03,5.31,31,106,7.97,4.66,1
OL,0,75.625,283,21.78630137,18,5.21,5.46,27,100.5,0,4.75,1
DL,0,75.625,261.2,23.22191781,13,5.59,5.74,21.5,106,0,0,0
QB,0,75.625,234.6,25.35616438,15,5.02,5.25,27.5,107,0,0,1
WR,0,75.625,226,22.65205479,8,4.71,4.92,29.5,115.5,0,4.46,1
WR,0,75.625,219,23.14794521,19,4.71,4.83,36,118.5,0,4.24,1
OL,0,75.5,318,25.2109589,19,5.34,5.38,26.5,89.5,7.72,4.69,1
OL,0,75.5,312,23.87945205,27,0,5.46,26.5,89,7.92,4.7,1
OL,0,75.5,312,24.74794521,31,5.51,5.57,23,95.75,8.44,5.06,1
OL,0,75.5,304,21.64931507,21,5.48,0,24.75,100.5,0,5,1
OL,0,75.5,299,22.97534247,23,5.07,5.28,32.5,106.5,0,4.69,1
OL,0,75.5,292,25.04109589,22,5.62,5.65,20.5,76.5,8.16,5,1
DL,0,75.5,275,23.75616438,31,4.99,5.19,31.5,108,0,4.57,1
DL,0,75.5,273,0,21,5.32,5.64,25,98,0,4.7,0
DL,0,75.5,250,21.56712329,20,5,5.07,29,104,7.34,4.66,1
LB,0,75.5,240,24.46027397,11,4.95,5,29,115.5,7.34,4.46,1
DL,1,75.5,238,23.69041096,19,4.81,4.84,31.5,103,7.05,4.38,1
DL,0,75.5,237,23.53150685,0,4.96,5.13,26,101.5,0,4.33,0
WR,0,75.5,212,24.01369863,3,0,4.56,32.5,113,6.69,4.14,1
DB,0,75.5,196,21.70958904,11,4.54,0,37.5,125.5,0,4.22,1
OL,0,75.375,311,24.43013699,22,5.42,5.48,21.5,101.25,8.28,4.84,1
OL,0,75.375,307,22.70684932,24,0,5.25,27,93.5,7.68,4.54,0
OL,0,75.375,300,25.96438356,14,5.8,5.98,21,0,0,5.12,0
DL,0,75.375,277.8,24.17808219,20,5.54,5.5,31,109.2,0,0,1
DL,0,75.375,258.4,22.52054795,20,4.83,5,28,116,0,0,1
DL,0,75.375,250,25.92054795,23,4.75,4.94,30.5,117,0,0,1
WR,0,75.375,232.4,23.70684932,17,4.78,4.98,30.5,118.7,0,0,0
WR,0,75.375,226,22.90958904,14,4.7,4.98,32.5,119,0,4.55,0
QB,0,75.375,216,24.7890411,5,5.19,5.26,33.5,111.5,8.26,4.59,0
OL,0,75.25,298,22.62739726,17,5.69,5.91,23.5,101.5,0,4.91,0
OL,0,75.25,296,24.88219178,9,5.58,5.81,23,92,0,5.12,1
OL,1,75.25,287,22.15890411,22,5.32,5.38,25.5,95,8.03,4.89,1
OL,0,75.25,268,25.32328767,12,5.09,5.21,32,102.5,0,4.38,0
DL,0,75.25,258,26.14794521,23,4.83,5.05,33,105.75,0,4.34,1
DL,0,75.25,257,24.83287671,22,4.94,5.17,33,117.5,0,4.4,1
LB,0,75.25,248,25.69863014,14,4.98,5.02,24,99.1,0,0,1
LB,0,75.25,224.6,22.48767123,13,4.99,5.21,29,115.5,0,0,1
LB,0,75.25,223,23.49589041,12,5,0,24.75,103.5,0,4.66,0
LB,0,75.25,219,21.3369863,10,4.88,4.99,32.5,114,7.22,4.47,0
WR,0,75.25,198,23.53150685,8,4.81,4.99,34,115.2,0,0,1
DB,0,75.25,198,23.89041096,13,4.57,4.65,40,126,7,4.1,1
WR,0,75.25,186,22.64931507,11,4.74,0,29,108.5,0,4.4,1
DL,0,75.125,276,22.6630137,12,5.17,0,25.5,94.5,0,4.84,0
DL,0,75.125,240,23.8,20,4.94,5.13,24.5,96.5,0,4.37,0
DB,0,75.125,211.4,21.40547945,6,4.85,4.99,33.5,113.7,0,0,0
WR,0,75.125,203,22.52876712,10,4.63,4.81,34.5,118.5,0,4.35,0
WR,0,75.125,192,23.03287671,6,0,4.67,34.5,115.5,6.88,4.2,0
OL,0,75,332,21.6739726,18,5.96,6.18,25,83,0,5.5,0
OL,0,75,317,23.70958904,40,0,5.513,24.5,92,7.84,4.79,1
OL,0,75,312,24.39726027,20,5.16,5.26,28.5,107,7.84,4.59,1
OL,0,75,309,24.61917808,28,5.26,5.56,31.25,99.6,7.63,4.76,1
OL,0,75,308,22.84657534,20,5.45,5.7,27,93,0,4.65,1
OL,0,75,300,0,28,0,5.579,25,95.5,8.742,4.842,1
OL,0,75,300,0,32,0,5.42,21.5,86,8.41,5.14,1
OL,0,75,300,23.9890411,32,0,5.402,23.5,0,7.91,4.82,1
OL,0,75,300,0,19,5.7,5.81,33.75,84.384,8.31,5.05,0
OL,0,75,299,23.39726027,27,0,5.451,30.5,92.75,7.78,5.01,1
OL,0,75,290,25.09589041,25,0,5.646,21.5,94.5,8.16,5.25,1
DL,0,75,289,22.2630137,14,0,4.454,25.5,99.25,0,4.89,1
DL,0,75,275,21.54520548,29,0,5.107,29.5,101,0,4.72,1
DL,0,75,273,24.2739726,30,4.9,4.94,32.5,110.5,7.66,4.68,1
DL,0,75,262,23.4739726,15,0,4.78,32,113.5,7.47,4.41,1
OL,0,75,261,23.44657534,15,5,5.17,29.5,108,0,4.48,0
DL,0,75,250,0,18,0,4.808,31,106,7.62,4.47,1
DL,0,75,244,21.75890411,23,0,4.99,30,103.5,7.09,4.33,0
RB,0,75,238,24.99726027,20,0,5.11,31,108.5,0,4.65,1
LB,0,75,232,23.15342466,22,0,4.82,34.5,113,7.151,4.28,1
LB,0,75,231,24.35616438,23,4.78,4.99,24,102,0,4.13,0
RB,0,75,225,23.96438356,12,4.93,5.34,30,107,0,4.33,1
DL,0,75,225,21.46027397,21,0,4.697,35.5,122.5,7.5,4.5,1
LB,1,75,225,24.46575342,18,4.66,4.93,35.25,112.86,7.4,4.5,1
DL,0,75,220,0,16,0,4.828,36,116,7.552,4.519,0
LB,0,75,219,22.13972603,8,4.75,0,28.5,112,0,4.59,1
DB,0,75,218,24.19726027,0,0,4.753,30.5,124.75,6.91,4.19,1
WR,0,75,213,22.90136986,25,4.59,4.86,40.5,130.5,0,4.19,1
DB,0,75,212,24.60547945,13,0,4.793,31.5,125.5,6.84,4.16,1
WR,0,75,212,21.60273973,14,0,4.63,34.5,115.5,7.41,4.79,1
QB,0,75,210,23.06027397,10,4.72,4.84,32,116.5,6.81,4.25,1
WR,0,75,207,24.58630137,7,4.84,5.19,33.5,117,0,4.31,1
WR,0,75,205,23.90958904,20,0,4.63,33,120.5,7.31,4.46,1
DB,0,75,197,23.57808219,8,4.7,4.98,32,116,0,4.53,1
QB,0,75,195,0,11,0,5.085,24.5,95.5,7.75,4.56,0
DL,0,74.875,261,23.25479452,23,5.07,5.36,28.5,100.5,0,4.8,1
DL,0,74.875,260,21.50410959,23,4.78,4.96,41,115.5,0,4.24,1
WR,0,74.875,251,22.93972603,23,4.68,4.86,35,119,0,4.53,1
LB,0,74.875,240,25.1369863,15,4.87,4.81,31,110.3,0,0,1
DB,0,74.875,191,22.99452055,9,4.67,5,31.5,114.5,0,4.31,0
WR,0,74.875,184,21.56712329,8,4.63,4.66,33,119,7.19,4.35,1
OL,0,74.75,297,22.29863014,21,5.46,5.57,22.5,92,0,5.01,0
OL,0,74.75,291,24.6739726,24,5.34,5.53,32.5,92.5,0,4.78,1
DL,0,74.75,289,22.72876712,23,5.24,5.43,30.5,99,0,0,0
DL,0,74.75,222.8,22.48493151,12,5.07,5.11,36,112.3,0,0,0
LB,0,74.75,220,21.88219178,15,4.87,5.02,31.5,109.75,0,4.44,1
DB,0,74.75,208,25.75890411,9,4.62,4.89,38,119.5,0,4.25,1
OL,0,74.625,287,23.46027397,39,5.31,5.57,22.5,96.25,8.11,4.89,1
OL,0,74.625,283,21.50684932,14,5.19,0,29,102,0,4.62,1
OL,0,74.625,271,26.33972603,13,5.23,0,25.5,99.5,0,4.91,1
DL,0,74.625,245,25.56164384,11,5.18,0,24,101,0,4.56,0
LB,0,74.625,232,22.11780822,13,4.78,4.94,33,112.5,0,4.38,1
DL,0,74.625,229,24.92054795,12,4.69,4.94,32,111.25,0,4.4,1
QB,0,74.625,215,23.9890411,9,4.68,4.83,29,114,7.26,4.4,0
WR,0,74.625,213.6,22.55616438,17,4.81,4.9,27.5,102,0,0,1
WR,0,74.625,210,25.47671233,6,4.86,0,35.5,119.5,0,4.28,1
DB,0,74.625,190,25.64109589,9,4.76,0,30.5,104.5,0,4.38,1
